,0
Close,1.0
SplyMiner0HopAllUSD,0.9997105446190461
SplyMiner1HopAllUSD,0.9962121628372802
Low,0.995655965297818
High,0.9952091032436339
Open,0.9900429424469904
CapAct1yrUSD,0.9513329356249808
SplyAdrBalUSD10M,0.8953672653324336
SplyAdrBalUSD1M,0.8183886813940594
SplyAdrBalUSD100K,0.7190843824910891
RevHashRateUSD,0.6283346588432125
Gsearch_scaled,0.6215615524843642
AdrBalCnt,0.5525593283138401
FeeTotUSD,0.5517336154751805
AdrActCnt,0.5155222317212043
FeeTotNtv,0.5086198472287228
SplyAct90d,0.49561139652280495
SplyAct180d,0.4785250788671087
FlowTfrFromExCnt,0.456005674058367
RevNtv,0.4550370516559829
SplyAct30d,0.4415770303567523
SplyAdrBalUSD10K,0.41486238297565964
AdrBal1in10BCnt,0.39901765661138205
AdrBalNtv0.001Cnt,0.3789344283867595
VelCur1yr,0.3696425385792582
AdrBal1in1BCnt,0.36481925671302123
AdrBalNtv0.01Cnt,0.3579585397272451
SplyAct7d,0.34401504570838815
AdrBalNtv10Cnt,0.3379314262213098
BlkWghtTot,0.3191788410086021
AdrBal1in10MCnt,0.3082792361472165
IssContPctAnn,0.28376296149120805
IssContPctDay,0.28376296143063023
TxTfrCnt,0.28159725648458805
IssTotNtv,0.28080999660768685
AdrBal1in1MCnt,0.2800742164992193
SplyMiner1HopAllNtv,0.26531115904796787
AdrBalNtv10KCnt,0.25554406735993823
SplyAct1yr,0.23709050947707935
SplyActPct1yr,0.21875001430093746
