Date,Interest Rate
2022-01-03,1.63
2022-01-04,1.66
2022-01-05,1.71
2022-01-06,1.73
2022-01-07,1.76
2022-01-10,1.78
2022-01-11,1.75
2022-01-12,1.74
2022-01-13,1.7
2022-01-14,1.78
2022-01-17,
2022-01-18,1.87
2022-01-19,1.83
2022-01-20,1.83
2022-01-21,1.75
2022-01-24,1.75
2022-01-25,1.78
2022-01-26,1.85
2022-01-27,1.81
2022-01-28,1.78
2022-01-31,1.79
2022-02-01,1.81
2022-02-02,1.78
2022-02-03,1.82
2022-02-04,1.93
2022-02-07,1.92
2022-02-08,1.96
2022-02-09,1.94
2022-02-10,2.03
2022-02-11,1.92
2022-02-14,1.98
2022-02-15,2.05
2022-02-16,2.03
2022-02-17,1.97
2022-02-18,1.92
2022-02-21,
2022-02-22,1.94
2022-02-23,1.99
2022-02-24,1.96
2022-02-25,1.97
2022-02-28,1.83
2022-03-01,1.72
2022-03-02,1.86
2022-03-03,1.86
2022-03-04,1.74
2022-03-07,1.78
2022-03-08,1.86
2022-03-09,1.94
2022-03-10,1.98
2022-03-11,2.0
2022-03-14,2.14
2022-03-15,2.15
2022-03-16,2.19
2022-03-17,2.2
2022-03-18,2.14
2022-03-21,2.32
2022-03-22,2.38
2022-03-23,2.32
2022-03-24,2.34
2022-03-25,2.48
2022-03-28,2.46
2022-03-29,2.41
2022-03-30,2.35
2022-03-31,2.32
2022-04-01,2.39
2022-04-04,2.42
2022-04-05,2.54
2022-04-06,2.61
2022-04-07,2.66
2022-04-08,2.72
2022-04-11,2.79
2022-04-12,2.72
2022-04-13,2.7
2022-04-14,2.83
2022-04-15,
2022-04-18,2.85
2022-04-19,2.93
2022-04-20,2.85
2022-04-21,2.9
2022-04-22,2.9
2022-04-25,2.81
2022-04-26,2.77
2022-04-27,2.82
2022-04-28,2.85
2022-04-29,2.89
2022-05-02,2.99
2022-05-03,2.97
2022-05-04,2.93
2022-05-05,3.05
2022-05-06,3.12
2022-05-09,3.05
2022-05-10,2.99
2022-05-11,2.91
2022-05-12,2.84
2022-05-13,2.93
2022-05-16,2.88
2022-05-17,2.98
2022-05-18,2.89
2022-05-19,2.84
2022-05-20,2.78
2022-05-23,2.86
2022-05-24,2.76
2022-05-25,2.75
2022-05-26,2.75
2022-05-27,2.74
2022-05-30,
2022-05-31,2.85
2022-06-01,2.94
2022-06-02,2.92
2022-06-03,2.96
2022-06-06,3.04
2022-06-07,2.98
2022-06-08,3.03
2022-06-09,3.04
2022-06-10,3.15
2022-06-13,3.43
2022-06-14,3.49
2022-06-15,3.33
2022-06-16,3.28
2022-06-17,3.25
2022-06-20,
2022-06-21,3.31
2022-06-22,3.16
2022-06-23,3.09
2022-06-24,3.13
2022-06-27,3.2
2022-06-28,3.2
2022-06-29,3.1
2022-06-30,2.98
2022-07-01,2.88
2022-07-04,
2022-07-05,2.82
2022-07-06,2.93
2022-07-07,3.01
2022-07-08,3.09
2022-07-11,2.99
2022-07-12,2.96
2022-07-13,2.91
2022-07-14,2.96
2022-07-15,2.93
2022-07-18,2.96
2022-07-19,3.01
2022-07-20,3.04
2022-07-21,2.91
2022-07-22,2.77
2022-07-25,2.81
2022-07-26,2.81
2022-07-27,2.78
2022-07-28,2.68
2022-07-29,2.67
2022-08-01,2.6
2022-08-02,2.75
2022-08-03,2.73
2022-08-04,2.68
2022-08-05,2.83
2022-08-08,2.77
2022-08-09,2.8
2022-08-10,2.78
2022-08-11,2.87
2022-08-12,2.84
2022-08-15,2.79
2022-08-16,2.82
2022-08-17,2.89
2022-08-18,2.88
2022-08-19,2.98
2022-08-22,3.03
2022-08-23,3.05
2022-08-24,3.11
2022-08-25,3.03
2022-08-26,3.04
2022-08-29,3.12
2022-08-30,3.11
2022-08-31,3.15
2022-09-01,3.26
2022-09-02,3.2
2022-09-05,
2022-09-06,3.33
2022-09-07,3.27
2022-09-08,3.29
2022-09-09,3.33
2022-09-12,3.37
2022-09-13,3.42
2022-09-14,3.41
2022-09-15,3.45
2022-09-16,3.45
2022-09-19,3.49
2022-09-20,3.57
2022-09-21,3.51
2022-09-22,3.7
2022-09-23,3.69
2022-09-26,3.88
2022-09-27,3.97
2022-09-28,3.72
2022-09-29,3.76
2022-09-30,3.83
2022-10-03,3.67
2022-10-04,3.62
2022-10-05,3.76
2022-10-06,3.83
2022-10-07,3.89
2022-10-10,
2022-10-11,3.93
2022-10-12,3.91
2022-10-13,3.97
2022-10-14,4.0
2022-10-17,4.02
2022-10-18,4.01
2022-10-19,4.14
2022-10-20,4.24
2022-10-21,4.21
2022-10-24,4.25
2022-10-25,4.1
2022-10-26,4.04
2022-10-27,3.96
2022-10-28,4.02
2022-10-31,4.1
2022-11-01,4.07
2022-11-02,4.1
2022-11-03,4.14
2022-11-04,4.17
2022-11-07,4.22
2022-11-08,4.14
2022-11-09,4.12
2022-11-10,3.82
2022-11-11,
2022-11-14,3.88
2022-11-15,3.8
2022-11-16,3.67
2022-11-17,3.77
2022-11-18,3.82
2022-11-21,3.83
2022-11-22,3.76
2022-11-23,3.71
2022-11-24,
2022-11-25,3.68
2022-11-28,3.69
2022-11-29,3.75
2022-11-30,3.68
2022-12-01,3.53
2022-12-02,3.51
2022-12-05,3.6
2022-12-06,3.51
2022-12-07,3.42
2022-12-08,3.48
2022-12-09,3.57
2022-12-12,3.61
2022-12-13,3.51
2022-12-14,3.49
2022-12-15,3.44
2022-12-16,3.48
2022-12-19,3.57
2022-12-20,3.69
2022-12-21,3.68
2022-12-22,3.67
2022-12-23,3.75
2022-12-26,
2022-12-27,3.84
2022-12-28,3.88
2022-12-29,3.83
2022-12-30,3.88
2023-01-02,
2023-01-03,3.79
2023-01-04,3.69
2023-01-05,3.71
2023-01-06,3.55
2023-01-09,3.53
2023-01-10,3.61
2023-01-11,3.54
2023-01-12,3.43
2023-01-13,3.49
2023-01-16,
2023-01-17,3.53
2023-01-18,3.37
2023-01-19,3.39
2023-01-20,3.48
2023-01-23,3.52
2023-01-24,3.46
2023-01-25,3.46
2023-01-26,3.49
2023-01-27,3.52
2023-01-30,3.55
2023-01-31,3.52
2023-02-01,3.39
2023-02-02,3.4
2023-02-03,3.53
2023-02-06,3.63
2023-02-07,3.67
2023-02-08,3.63
2023-02-09,3.67
2023-02-10,3.74
2023-02-13,3.72
2023-02-14,3.77
2023-02-15,3.81
2023-02-16,3.86
2023-02-17,3.82
2023-02-20,
2023-02-21,3.95
